participant_Id,activity_date,very_active_minutes,lightly_active_minutes,fairly_active_minutes,sedentary_minutes,daily_steps,daily_distance,active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,calories_burnt
6962181067,2016-05-02,18,313,39,655,12912,8.53999996185303,1.20000004768372,2.0,5.34000015258789,0.0,2162
6962181067,2016-04-14,0,86,0,862,1551,1.02999997138977,0.0,0.0,1.02999997138977,0.0,1466
6962181067,2016-04-15,0,217,0,837,5563,3.6800000667572,0.0,0.0,3.6800000667572,0.0,1756
6962181067,2016-04-24,0,199,0,720,5029,3.3199999332428,0.0,0.0,3.3199999332428,0.0,1705
6962181067,2016-05-01,0,215,0,722,5454,3.60999989509583,0.0,0.0,3.60999989509583,0.0,1740
6962181067,2016-05-07,0,328,0,745,6815,4.5,0.0,0.0,4.5,0.0,1947
6962181067,2016-04-20,48,297,4,639,13928,9.55000019073486,4.28000020980835,0.189999997615814,5.09000015258789,0.0,2174
6962181067,2016-04-26,36,254,7,680,10433,6.90000009536743,2.57999992370605,0.419999986886978,3.90000009536743,0.0,2012
6962181067,2016-05-11,24,199,7,709,6722,4.44000005722046,1.49000000953674,0.310000002384186,2.65000009536743,0.0,1855
6962181067,2016-04-28,38,288,8,621,12627,8.35000038146973,2.50999999046326,0.239999994635582,5.59000015258789,0.0,2182
6962181067,2016-05-12,0,105,8,127,3587,2.36999988555908,0.0,0.25,2.10999989509583,0.0,928
6962181067,2016-04-12,50,189,14,796,10199,6.73999977111816,3.40000009536743,0.829999983310699,2.50999999046326,0.0,1994
6962181067,2016-05-08,0,151,14,709,4188,2.76999998092651,0.0,0.519999980926514,2.25,0.0,1659
6962181067,2016-04-29,12,369,15,645,10762,7.1100001335144,0.819999992847443,0.479999989271164,5.80999994277954,0.0,2254
6962181067,2016-04-30,32,237,16,731,10081,6.65999984741211,2.24000000953674,0.759999990463257,3.67000007629395,0.0,2002
6962181067,2016-05-09,43,231,21,607,12342,8.72000026702881,3.90000009536743,1.17999994754791,3.65000009536743,0.0,2105
6962181067,2016-05-05,14,305,22,591,10524,6.96000003814697,0.990000009536743,1.1599999666214,4.80999994277954,0.0,2066
6962181067,2016-04-13,8,142,24,548,5652,3.74000000953674,0.569999992847443,1.21000003814697,1.96000003814697,0.0,1718
6962181067,2016-04-21,53,214,27,708,11835,9.71000003814697,3.99000000953674,2.09999990463257,3.50999999046326,0.109999999403954,2179
6962181067,2016-04-25,35,282,31,637,13239,9.27000045776367,3.01999998092651,1.67999994754791,4.46000003814697,0.100000001490116,2194
6962181067,2016-04-22,30,240,33,659,10725,7.09000015258789,1.76999998092651,1.54999995231628,3.76999998092651,0.0,2086
6962181067,2016-05-10,62,275,34,626,15448,10.210000038147,3.47000002861023,1.75,4.98999977111816,0.0,2361
6962181067,2016-05-03,21,267,36,654,12109,8.11999988555908,1.74000000953674,2.03999996185303,4.32999992370605,0.0,2072
6962181067,2016-04-19,35,195,41,659,10742,7.09999990463257,2.09999990463257,2.13000011444092,2.86999988555908,0.0,2046
6962181067,2016-04-23,58,347,41,484,20031,13.2399997711182,4.19999980926514,2.0,7.03999996185303,0.0,2571
6962181067,2016-04-18,13,238,42,689,11404,7.53999996185303,0.829999983310699,2.39000010490417,4.32000017166138,0.0,2039
6962181067,2016-05-06,0,299,0,717,5908,3.91000008583069,0.0,0.0,3.91000008583069,0.0,1850
6962181067,2016-04-27,7,279,38,697,10320,6.82000017166138,0.550000011920929,2.01999998092651,4.25,0.0,2034
6962181067,2016-04-17,5,295,13,634,10145,6.71000003814697,0.330000013113022,0.680000007152557,5.69000005722046,0.0,2027
6962181067,2016-05-04,15,284,36,683,10147,6.71000003814697,0.469999998807907,1.67999994754791,4.55000019073486,0.0,2086
6962181067,2016-04-16,50,280,3,741,13217,8.73999977111816,3.66000008583069,0.189999997615814,4.88000011444092,0.0,2173
